tier,page_id,url_slug,page_title,target_keyword,parent_page_id,category,estimated_traffic,priority,status,notes
LOW,10004,/onsen/izu/,伊豆温泉の旅館ランキング,伊豆 温泉 旅館,9111,BH01,3000-7000,1,planned,関東エリア・個別温泉地
LOW,10005,/onsen/nikko/,日光温泉の旅館ランキング,日光 温泉 旅館,9111,BH01,2000-5000,2,planned,関東エリア・個別温泉地
LOW,10006,/onsen/kinugawa/,鬼怒川温泉の旅館ランキング,鬼怒川温泉 旅館,9111,BH01,2500-6000,1,planned,関東エリア・個別温泉地
LOW,10007,/onsen/nasu/,那須温泉の旅館ランキング,那須 温泉 旅館,9111,BH01,2000-5000,2,planned,関東エリア・個別温泉地
LOW,10008,/onsen/ikaho/,伊香保温泉の旅館ランキング,伊香保温泉 旅館,9111,BH01,1500-4000,2,planned,関東エリア・個別温泉地
LOW,10009,/onsen/minakami/,水上温泉の旅館ランキング,水上温泉 旅館,9111,BH01,1000-3000,3,planned,関東エリア・個別温泉地
LOW,10010,/onsen/shiobara/,塩原温泉の旅館ランキング,塩原温泉 旅館,9111,BH01,800-2000,3,planned,関東エリア・個別温泉地
LOW,10101,/onsen/kinosaki/,城崎温泉の旅館ランキング,城崎温泉 旅館 おすすめ,9112,BH01,3000-7000,1,planned,関西エリア・個別温泉地
LOW,10102,/onsen/arima/,有馬温泉の旅館ランキング,有馬温泉 旅館 ランキング,9112,BH01,4000-8000,1,planned,関西エリア・個別温泉地
LOW,10103,/onsen/shirahama/,白浜温泉の旅館ランキング,白浜温泉 旅館,9112,BH01,2500-6000,1,planned,関西エリア・個別温泉地
LOW,10104,/onsen/katsuura/,勝浦温泉の旅館ランキング,勝浦温泉 旅館,9112,BH01,1000-3000,2,planned,関西エリア・個別温泉地
LOW,10105,/onsen/nanki/,南紀温泉の旅館ランキング,南紀 温泉 旅館,9112,BH01,800-2000,3,planned,関西エリア・個別温泉地
LOW,10201,/onsen/beppu/,別府温泉の旅館ランキング,別府温泉 旅館 おすすめ,9113,BH01,3000-7000,1,planned,九州エリア・個別温泉地
LOW,10202,/onsen/yufuin/,由布院温泉の旅館ランキング,由布院 温泉 旅館 ランキング,9113,BH01,4000-9000,1,planned,九州エリア・個別温泉地
LOW,10203,/onsen/kurokawa/,黒川温泉の旅館ランキング,黒川温泉 旅館 おすすめ,9113,BH01,2500-6000,1,planned,九州エリア・個別温泉地
LOW,10204,/onsen/ureshino/,嬉野温泉の旅館ランキング,嬉野温泉 旅館,9113,BH01,1500-4000,2,planned,九州エリア・個別温泉地
LOW,10205,/onsen/ibusuki/,指宿温泉の旅館ランキング,指宿温泉 旅館,9113,BH01,1500-4000,2,planned,九州エリア・個別温泉地
LOW,10301,/onsen/nyuto/,乳頭温泉の旅館ランキング,乳頭温泉 旅館,9114,BH01,1500-4000,2,planned,東北エリア・個別温泉地
LOW,10302,/onsen/ginzan/,銀山温泉の旅館ランキング,銀山温泉 旅館 おすすめ,9114,BH01,2000-5000,1,planned,東北エリア・個別温泉地
LOW,10303,/onsen/zao/,蔵王温泉の旅館ランキング,蔵王温泉 旅館,9114,BH01,1500-4000,2,planned,東北エリア・個別温泉地
LOW,10304,/onsen/akiu/,秋保温泉の旅館ランキング,秋保温泉 旅館,9114,BH01,1000-3000,2,planned,東北エリア・個別温泉地
LOW,10305,/onsen/sakunami/,作並温泉の旅館ランキング,作並温泉 旅館,9114,BH01,500-1500,3,planned,東北エリア・個別温泉地
LOW,10401,/onsen/noboribetsu/,登別温泉の旅館ランキング,登別温泉 旅館 おすすめ,9115,BH01,3000-7000,1,planned,北海道エリア・個別温泉地
LOW,10402,/onsen/jozankei/,定山渓温泉の旅館ランキング,定山渓温泉 旅館,9115,BH01,2000-5000,1,planned,北海道エリア・個別温泉地
LOW,10403,/onsen/yunokawa/,湯の川温泉の旅館ランキング,湯の川温泉 旅館,9115,BH01,1500-4000,2,planned,北海道エリア・個別温泉地
LOW,10404,/onsen/sounkyo/,層雲峡温泉の旅館ランキング,層雲峡温泉 旅館,9115,BH01,1000-3000,2,planned,北海道エリア・個別温泉地
LOW,10501,/onsen/gero/,下呂温泉の旅館ランキング,下呂温泉 旅館 おすすめ,9116,BH01,3000-7000,1,planned,中部エリア・個別温泉地
LOW,10502,/onsen/yamashiro/,山代温泉の旅館ランキング,山代温泉 旅館,9116,BH01,1500-4000,2,planned,中部エリア・個別温泉地
LOW,10503,/onsen/yamanakaonsen/,山中温泉の旅館ランキング,山中温泉 旅館,9116,BH01,1500-4000,2,planned,中部エリア・個別温泉地
LOW,10504,/onsen/katayamazu/,片山津温泉の旅館ランキング,片山津温泉 旅館,9116,BH01,800-2000,3,planned,中部エリア・個別温泉地
DETAIL,11001,/onsen/hakone/gora-kadan/,箱根・強羅花壇の詳細レビュー,強羅花壇 口コミ,10001,BH01,500-1500,1,planned,個別旅館詳細ページ
DETAIL,11002,/onsen/hakone/hakone-ginyu/,箱根・箱根吟遊の詳細レビュー,箱根吟遊 口コミ,10001,BH01,500-1500,1,planned,個別旅館詳細ページ
